index(611),angle,range,intensity
0,0.00,171.0,0.0
1,0.56,171.0,0.0
2,1.13,171.0,0.0
3,1.67,171.0,0.0
4,2.23,171.0,0.0
5,2.80,171.0,0.0
6,3.36,171.0,0.0
7,3.92,171.0,0.0
8,4.48,171.0,0.0
9,5.02,172.0,0.0
10,5.58,172.0,0.0
11,6.14,172.0,0.0
12,6.70,172.0,0.0
13,7.27,172.0,0.0
14,7.83,172.0,0.0
15,8.34,173.0,0.0
16,8.92,173.0,0.0
17,9.47,173.0,0.0
18,10.03,173.0,0.0
19,10.58,173.0,0.0
20,11.14,173.0,0.0
21,11.66,174.0,0.0
22,12.20,174.0,0.0
23,12.77,174.0,0.0
24,13.33,174.0,0.0
25,13.84,175.0,0.0
26,14.41,175.0,0.0
27,14.92,176.0,0.0
28,15.47,176.0,0.0
29,15.98,177.0,0.0
30,16.53,177.0,0.0
31,17.09,177.0,0.0
32,17.63,178.0,0.0
33,18.17,178.0,0.0
34,18.69,179.0,0.0
35,19.25,179.0,0.0
36,19.77,180.0,0.0
37,20.28,181.0,0.0
38,20.84,181.0,0.0
39,21.39,181.0,0.0
40,21.92,182.0,0.0
41,22.45,183.0,0.0
42,23.00,183.0,0.0
43,23.52,184.0,0.0
44,24.03,185.0,0.0
45,24.59,185.0,0.0
46,25.13,186.0,0.0
47,25.63,187.0,0.0
48,26.19,187.0,0.0
49,26.72,188.0,0.0
50,27.23,189.0,0.0
51,27.77,190.0,0.0
52,28.28,191.0,0.0
53,28.83,191.0,0.0
54,29.36,192.0,0.0
55,29.89,193.0,0.0
56,30.44,194.0,0.0
57,30.95,195.0,0.0
58,31.47,196.0,0.0
59,32.00,197.0,0.0
60,32.52,198.0,0.0
61,33.03,199.0,0.0
62,33.55,200.0,0.0
63,34.09,201.0,0.0
64,34.61,202.0,0.0
65,35.11,204.0,0.0
66,35.63,205.0,0.0
67,36.16,206.0,0.0
68,36.67,207.0,0.0
69,37.17,209.0,0.0
70,37.69,210.0,0.0
71,38.22,211.0,0.0
72,38.75,212.0,0.0
73,39.23,214.0,0.0
74,39.78,215.0,0.0
75,40.27,217.0,0.0
76,40.81,218.0,0.0
77,41.30,220.0,0.0
78,41.84,221.0,0.0
79,42.33,223.0,0.0
80,42.84,225.0,0.0
81,43.38,226.0,0.0
82,43.88,228.0,0.0
83,44.38,230.0,0.0
84,44.88,232.0,0.0
85,45.42,233.0,0.0
86,45.91,236.0,0.0
87,46.44,237.0,0.0
88,46.94,239.0,0.0
89,47.47,241.0,0.0
90,47.95,244.0,0.0
91,48.47,246.0,0.0
92,48.97,248.0,0.0
93,49.50,250.0,0.0
94,50.00,252.0,0.0
95,50.50,255.0,0.0
96,50.98,257.0,0.0
97,51.47,260.0,0.0
98,52.00,262.0,0.0
99,52.52,265.0,0.0
100,53.02,267.0,0.0
101,53.53,270.0,0.0
102,54.05,273.0,0.0
103,54.55,276.0,0.0
104,55.06,279.0,0.0
105,55.58,282.0,0.0
106,56.08,285.0,0.0
